"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"1","Alabama","US","2020-04-15 22:56:51",32.3182,-86.9023,4075,118,NA,3957,1,86.9074326008867,34077,525,2.89570552147239,84000001,"USA",726.759406316667,12.8834355828221
"2","Alaska","US","2020-04-15 22:56:51",61.3707,-152.4044,293,9,106,284,2,49.0172296398656,8664,34,3.07167235494881,84000002,"USA",1449.43780750783,11.6040955631399
"3","American Samoa","US","",-14.271,-170.132,0,0,NA,NA,60,0,3,NA,NA,16,"ASM",5.39170755378228,NA
"4","Arizona","US","2020-04-15 22:56:51",33.7298,-111.4312,3964,142,385,3822,4,54.4601473034327,45310,590,3.58224016145308,84000004,"USA",622.499816932023,14.8839556004036
"5","Arkansas","US","2020-04-15 22:56:51",34.9697,-92.3731,1569,33,489,1536,5,60.601917245359,21834,130,2.10325047801147,84000005,"USA",843.328400978437,8.2855321861058
"6","California","US","2020-04-15 22:56:51",36.1162,-119.6816,26686,861,NA,25825,6,68.0615640132195,216486,5163,3.2264108521322,84000006,"USA",552.13878988855,19.3472232631342
"7","Colorado","US","2020-04-15 22:56:51",39.0598,-105.3111,7956,328,NA,7628,8,140.396374470095,39580,1556,4.12267471091,84000008,"USA",698.452551725282,19.5575666163901
"8","Connecticut","US","2020-04-15 22:56:51",41.5978,-72.7554,14755,868,NA,13887,9,413.851675895938,50143,1908,5.88275160962386,84000009,"USA",1406.42254045747,12.9312097594036
"9","Delaware","US","2020-04-15 22:56:51",39.3185,-75.5071,2014,46,354,1968,10,206.82629466688,13102,208,2.28401191658391,84000010,"USA",1345.50055249527,10.3277060575968
"10","Diamond Princess","US","2020-04-15 22:56:51",NA,NA,49,0,0,49,88888,NA,NA,NA,0,84088888,"USA",NA,NA
"11","District of Columbia","US","2020-04-15 22:56:51",38.8974,-77.0268,2197,72,530,2125,11,311.300476515022,11525,313,3.27719617660446,84000011,"USA",1633.01683743087,14.2467000455166
"12","Florida","US","2020-04-15 22:56:51",27.7663,-81.6868,22511,596,NA,21915,12,106.020900119373,213509,3344,2.64759450935098,84000012,"USA",1005.5713368392,14.8549597974324
"13","Georgia","US","2020-04-15 22:56:51",33.0406,-83.6431,14987,552,NA,14435,13,147.80963712522,64090,2922,3.68319209981984,84000013,"USA",632.089120127803,19.4968973110029
"14","Grand Princess","US","2020-04-15 22:56:51",NA,NA,103,0,0,103,99999,NA,NA,NA,0,84099999,"USA",NA,NA
"15","Guam","US","2020-04-15 22:56:51",13.4443,144.7937,135,5,73,130,66,82.2022907038343,978,9,3.7037037037037,316,"GUM",595.509928209999,6.66666666666667
"16","Hawaii","US","2020-04-15 22:56:51",21.0943,-157.4983,524,9,333,515,15,37.0112432246116,19803,45,1.7175572519084,84000015,"USA",1398.72833888737,8.58778625954199
"17","Idaho","US","2020-04-15 22:56:51",44.2405,-114.4788,1473,39,NA,1434,16,91.4624491694179,15398,141,2.64765784114053,84000016,"USA",956.102370883026,9.57230142566191
"18","Illinois","US","2020-04-15 22:56:51",40.3495,-88.9861,24593,949,NA,23644,17,209.558002439234,116929,4283,3.85882161590697,84000017,"USA",996.356998626323,17.415524742813
"19","Indiana","US","2020-04-15 22:56:51",39.8494,-86.2583,8960,436,NA,8524,18,136.919440940808,48396,NA,4.86607142857143,84000018,"USA",739.548355331622,NA
"20","Iowa","US","2020-04-15 22:56:51",42.0115,-93.2105,1995,53,908,1942,19,76.1243218925537,19869,171,2.65664160401003,84000019,"USA",758.152456984035,8.57142857142857
"21","Kansas","US","2020-04-15 22:56:51",38.5266,-96.7265,1504,71,NA,1433,20,61.6775641299035,14668,342,4.72074468085106,84000020,"USA",601.520286341372,22.7393617021277
"22","Kentucky","US","2020-04-15 22:56:51",37.6681,-84.6701,2210,115,653,2095,21,64.5575340540992,27697,687,5.20361990950226,84000021,"USA",809.072407554926,31.0859728506787
"23","Louisiana","US","2020-04-15 22:56:51",31.1695,-91.8678,21951,1103,NA,20848,22,477.479441041697,121928,1943,5.02482802605804,84000022,"USA",2652.18501605084,8.85153295977404
"24","Maine","US","2020-04-15 22:56:51",44.6939,-69.3819,770,24,305,746,23,65.5873990422536,14846,126,3.11688311688312,84000023,"USA",1264.55912491078,16.3636363636364
"25","Maryland","US","2020-04-15 22:56:51",39.0639,-76.8021,10032,311,607,9721,24,168.794119799742,55763,2231,3.10007974481659,84000024,"USA",938.244268579846,22.2388357256778
"26","Massachusetts","US","2020-04-15 22:56:51",42.2302,-71.5301,29918,1108,NA,28810,25,435.88277699201,132023,3454,3.70345611337656,84000025,"USA",1923.47589634388,11.5448893642623
"27","Michigan","US","2020-04-15 22:56:51",43.3266,-84.5361,28059,1921,452,26138,26,352.178835908309,89697,3918,6.84628817848106,84000026,"USA",1125.82005932028,13.9634341922378
"28","Minnesota","US","2020-04-15 22:56:51",45.6945,-93.9002,1809,87,940,1722,27,36.5717122960606,40242,445,4.80928689883914,84000027,"USA",813.553812171406,24.5992260917634
"29","Mississippi","US","2020-04-15 22:56:51",32.7416,-89.6787,3360,122,NA,3238,28,116.05391809771,38151,645,3.63095238095238,84000028,"USA",1317.73006825766,19.1964285714286
"30","Missouri","US","2020-04-15 22:56:51",38.4561,-92.2884,4791,153,NA,4638,29,81.765269676912,49012,1024,3.19348778960551,84000029,"USA",836.459903444961,21.3734084742225
"31","Montana","US","2020-04-15 22:56:51",46.9219,-110.4544,404,7,209,397,30,46.6519705261164,9583,51,1.73267326732673,84000030,"USA",1106.59859790043,12.6237623762376
"32","Nebraska","US","2020-04-15 22:56:51",41.1254,-98.2681,901,20,NA,881,31,59.0714311939116,11729,NA,2.21975582685905,84000031,"USA",768.9775987496,NA
"33","Nevada","US","2020-04-15 22:56:51",38.3135,-117.0554,3211,131,NA,3080,32,106.440918660376,27655,NA,4.07972594207412,84000032,"USA",916.73111353245,NA
"34","New Hampshire","US","2020-04-15 22:56:51",43.4525,-71.5639,1139,32,365,1107,33,85.7585148643073,12166,178,2.80948200175593,84000033,"USA",916.012372115156,15.6277436347673
"35","New Jersey","US","2020-04-15 22:56:51",40.2989,-74.521,71030,3156,NA,67874,34,799.69016650173,144021,8270,4.44319301703506,84000034,"USA",1621.45822145214,11.6429677601014
"36","New Mexico","US","2020-04-15 22:56:51",34.8405,-106.2485,1484,36,340,1448,35,88.9937410534004,32850,181,2.42587601078167,84000035,"USA",1969.97600647184,12.1967654986523
"37","New York","US","2020-04-15 22:56:51",42.1657,-74.9481,214454,11617,23887,202837,36,1271.89183338498,526012,46201,5.41701250617848,84000036,"USA",3119.69171506477,21.5435478004607
"38","North Carolina","US","2020-04-15 22:56:51",35.6301,-79.8064,5340,130,NA,5210,37,53.8421788941684,67827,431,2.43445692883895,84000037,"USA",683.886417201265,8.07116104868914
"39","North Dakota","US","2020-04-15 22:56:51",47.5289,-99.784,365,9,142,356,38,60.1895062481655,11317,44,2.46575342465753,84000038,"USA",1866.20449920682,12.0547945205479
