"","date","day","month","year","cases","deaths","country","code","population","cases_cum","deaths_cum"
"1","2019-12-31",31,12,2019,0,0,"United_States_of_America","US",327167434,0,0
"2","2020-01-01",1,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"3","2020-01-02",2,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"4","2020-01-03",3,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"5","2020-01-04",4,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"6","2020-01-05",5,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"7","2020-01-06",6,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"8","2020-01-07",7,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"9","2020-01-08",8,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"10","2020-01-09",9,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"11","2020-01-10",10,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"12","2020-01-11",11,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"13","2020-01-12",12,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"14","2020-01-13",13,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"15","2020-01-14",14,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"16","2020-01-15",15,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"17","2020-01-16",16,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"18","2020-01-17",17,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"19","2020-01-18",18,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"20","2020-01-19",19,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"21","2020-01-20",20,1,2020,0,0,"United_States_of_America","US",327167434,0,0
"22","2020-01-21",21,1,2020,1,0,"United_States_of_America","US",327167434,1,0
"23","2020-01-22",22,1,2020,0,0,"United_States_of_America","US",327167434,1,0
"24","2020-01-23",23,1,2020,0,0,"United_States_of_America","US",327167434,1,0
"25","2020-01-24",24,1,2020,0,0,"United_States_of_America","US",327167434,1,0
"26","2020-01-25",25,1,2020,1,0,"United_States_of_America","US",327167434,2,0
"27","2020-01-26",26,1,2020,0,0,"United_States_of_America","US",327167434,2,0
"28","2020-01-27",27,1,2020,3,0,"United_States_of_America","US",327167434,5,0
"29","2020-01-28",28,1,2020,0,0,"United_States_of_America","US",327167434,5,0
"30","2020-01-29",29,1,2020,0,0,"United_States_of_America","US",327167434,5,0
"31","2020-01-30",30,1,2020,0,0,"United_States_of_America","US",327167434,5,0
"32","2020-01-31",31,1,2020,1,0,"United_States_of_America","US",327167434,6,0
"33","2020-02-01",1,2,2020,1,0,"United_States_of_America","US",327167434,7,0
"34","2020-02-02",2,2,2020,1,0,"United_States_of_America","US",327167434,8,0
"35","2020-02-03",3,2,2020,3,0,"United_States_of_America","US",327167434,11,0
"36","2020-02-04",4,2,2020,0,0,"United_States_of_America","US",327167434,11,0
"37","2020-02-05",5,2,2020,0,0,"United_States_of_America","US",327167434,11,0
"38","2020-02-06",6,2,2020,1,0,"United_States_of_America","US",327167434,12,0
"39","2020-02-07",7,2,2020,0,0,"United_States_of_America","US",327167434,12,0
"40","2020-02-08",8,2,2020,0,0,"United_States_of_America","US",327167434,12,0
"41","2020-02-09",9,2,2020,0,0,"United_States_of_America","US",327167434,12,0
"42","2020-02-10",10,2,2020,0,0,"United_States_of_America","US",327167434,12,0
"43","2020-02-11",11,2,2020,1,0,"United_States_of_America","US",327167434,13,0
"44","2020-02-12",12,2,2020,0,0,"United_States_of_America","US",327167434,13,0
"45","2020-02-13",13,2,2020,1,0,"United_States_of_America","US",327167434,14,0
"46","2020-02-14",14,2,2020,1,0,"United_States_of_America","US",327167434,15,0
"47","2020-02-15",15,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"48","2020-02-16",16,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"49","2020-02-17",17,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"50","2020-02-18",18,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"51","2020-02-19",19,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"52","2020-02-20",20,2,2020,0,0,"United_States_of_America","US",327167434,15,0
"53","2020-02-21",21,2,2020,1,0,"United_States_of_America","US",327167434,16,0
"54","2020-02-22",22,2,2020,19,0,"United_States_of_America","US",327167434,35,0
"55","2020-02-23",23,2,2020,0,0,"United_States_of_America","US",327167434,35,0
"56","2020-02-24",24,2,2020,0,0,"United_States_of_America","US",327167434,35,0
"57","2020-02-25",25,2,2020,18,0,"United_States_of_America","US",327167434,53,0
"58","2020-02-26",26,2,2020,0,0,"United_States_of_America","US",327167434,53,0
"59","2020-02-27",27,2,2020,6,0,"United_States_of_America","US",327167434,59,0
"60","2020-02-28",28,2,2020,1,0,"United_States_of_America","US",327167434,60,0
"61","2020-02-29",29,2,2020,6,0,"United_States_of_America","US",327167434,66,0
"62","2020-03-01",1,3,2020,3,1,"United_States_of_America","US",327167434,69,1
"63","2020-03-02",2,3,2020,20,1,"United_States_of_America","US",327167434,89,2
"64","2020-03-03",3,3,2020,14,4,"United_States_of_America","US",327167434,103,6
"65","2020-03-04",4,3,2020,22,3,"United_States_of_America","US",327167434,125,9
"66","2020-03-05",5,3,2020,34,2,"United_States_of_America","US",327167434,159,11
"67","2020-03-06",6,3,2020,74,1,"United_States_of_America","US",327167434,233,12
"68","2020-03-07",7,3,2020,105,2,"United_States_of_America","US",327167434,338,14
"69","2020-03-08",8,3,2020,95,3,"United_States_of_America","US",327167434,433,17
"70","2020-03-09",9,3,2020,121,4,"United_States_of_America","US",327167434,554,21
"71","2020-03-10",10,3,2020,200,5,"United_States_of_America","US",327167434,754,26
"72","2020-03-11",11,3,2020,271,2,"United_States_of_America","US",327167434,1025,28
"73","2020-03-12",12,3,2020,287,2,"United_States_of_America","US",327167434,1312,30
