" Civilian_labor_force_2007 "," Civilian_labor_force_2008 "," Civilian_labor_force_2010 "," Civilian_labor_force_2011 "," Civilian_labor_force_2012 "," Civilian_labor_force_2013 "," Civilian_labor_force_2014 "," Civilian_labor_force_2015 "," Civilian_labor_force_2016 "," Employed_2007 "," Employed_2008 "," Employed_2010 "," Employed_2011 "," Employed_2012 "," Employed_2013 "," Employed_2014 "," Employed_2015 "," Employed_2016 "," Unemployed_2007 "," Unemployed_2008 "," Unemployed_2010 "," Unemployed_2011 "," Unemployed_2012 "," Unemployed_2013 "," Unemployed_2014 "," Unemployed_2015 "," Unemployed_2016 ",Area_name,Civilian_labor_force_2009,Civilian_labor_force_2017,Civilian_labor_force_2018,Employed_2009,Employed_2017,Employed_2018,FIPS,Med_HH_Income_Percent_of_State_Total_2018,Median_Household_Income_2018,Metro_2013,Rural_urban_continuum_code_2013,State,Unemployed_2009,Unemployed_2017,Unemployed_2018,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Urban_influence_code_2013,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,Admin2,code3,Combined_Key,Country_Region,Input_#3_FIPS,iso2,iso3,Lat,Long_,Province_State,UID,Location,Input_#2_FIPS,HIV Mortality 1980,HIV Mortality 1985,HIV Mortality 1990,HIV Mortality 1995,HIV Mortality 2000,HIV Mortality 2005,HIV Mortality 2010,HIV Mortality 2014,"% Change in Mortality Rate, 1985-2014"
75038,75463,72711,74064,74287,73824,75025,76292,77259,72517,71760,66250,67996,68394,68405,70212,72184,73467,2521,3703,6461,6068,5893,5419,4813,4108,3792,"Kent County, DE",73786,77537,78124,67788,73757,74885,10001,84,54980,1,3,DE,5998,3780,3239,3.4,4.9,8.1,8.9,8.2,7.9,7.3,6.4,5.4,4.9,4.9,4.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,5,5,6,10,14,17,21,25,25,0,27,34,0,0,0,0,0,0,41,43,54,68,86,Kent,840,"Kent, Delaware, US",US,10001,US,USA,39.08646628,-75.56884914,Delaware,84010001,"Kent County, Delaware",10001,"0.00 (0.00, 0.00)","1.13 (0.95, 1.34)","8.14 (7.20, 9.14)","15.20 (13.75, 16.80)","5.70 (4.98, 6.47)","5.11 (4.41, 5.85)","3.80 (3.18, 4.46)","3.15 (2.62, 3.71)","177.59 (116.99, 264.02)"
275852,277739,271575,277387,278342,276688,282578,291341,293884,266221,264070,249148,257260,258855,258787,266987,277640,280885,9631,13669,22427,20127,19487,17901,15591,13701,12999,"New Castle County, DE",271289,295860,298915,248704,282893,287977,10003,106.3,69562,1,1,DE,22585,12967,10938,3.5,4.9,8.3,8.3,7.3,7,6.5,5.5,4.7,4.4,4.4,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,15,17,23,0,27,32,39,44,71,79,86,105,130,141,0,156,197,0,0,0,0,0,0,226,245,279,400,436,New Castle,840,"New Castle, Delaware, US",US,10003,US,USA,39.57992638,-75.64054974,Delaware,84010003,"New Castle County, Delaware",10003,"0.00 (0.00, 0.00)","1.75 (1.53, 1.99)","10.98 (10.17, 11.79)","20.69 (19.56, 21.80)","9.41 (8.67, 10.16)","8.46 (7.79, 9.23)","5.88 (5.31, 6.52)","5.18 (4.65, 5.76)","196.44 (151.21, 251.26)"
92683,93841,90133,91896,92942,92216,94584,98099,101100,89574,89085,82471,84830,86207,85927,89126,93276,96560,3109,4756,7662,7066,6735,6289,5458,4823,4540,"Sussex County, DE",92424,103448,105426,84819,98839,101475,10005,91.4,59821,1,2,DE,7605,4609,3951,3.4,5.1,8.2,8.5,7.7,7.2,6.8,5.8,4.9,4.5,4.5,3.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,8,12,18,23,26,27,37,59,66,0,81,88,0,0,0,0,0,0,101,105,117,125,151,Sussex,840,"Sussex, Delaware, US",US,10005,US,USA,38.66143781,-75.39031349,Delaware,84010005,"Sussex County, Delaware",10005,"0.00 (0.00, 0.00)","1.30 (1.10, 1.54)","8.86 (7.82, 9.88)","16.03 (14.54, 17.61)","5.26 (4.64, 5.96)","4.24 (3.69, 4.88)","2.51 (2.11, 2.96)","2.15 (1.78, 2.55)","64.89 (27.29, 112.16)"
24383,24687,25713,25836,25740,25810,25592,25613,25966,23577,23420,23431,23677,23961,24205,24097,24283,24645,806,1267,2282,2159,1779,1605,1495,1330,1321,"Autauga County, AL",24703,25972,25957,22301,24958,25015,1001,119,59338,1,2,AL,2402,1014,942,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.8,5.2,5.1,3.9,3.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,6,0,6,7,0,0,0,0,0,0,8,10,12,12,12,Autauga,840,"Autauga, Alabama, US",US,1001,US,USA,32.53952745,-86.64408227,Alabama,84001001,"Autauga County, Alabama",1001,"0.00 (0.00, 0.00)","0.44 (0.35, 0.54)","5.36 (4.53, 6.33)","9.81 (8.45, 11.31)","3.04 (2.50, 3.64)","2.92 (2.35, 3.65)","2.06 (1.59, 2.62)","2.00 (1.46, 2.56)","356.08 (212.51, 564.29)"
82659,83223,83459,85045,84414,85280,86384,87741,90670,80099,79372,75120,77418,78065,79626,81083,82882,85839,2560,3851,8339,7627,6349,5654,5301,4859,4831,"Baldwin County, AL",82451,92090,93849,74403,88342,90456,1003,115.5,57588,1,3,AL,8048,3748,3393,3.1,4.6,9.8,10,9,7.5,6.6,6.1,5.5,5.3,4.1,3.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,3,4,4,5,5,10,15,0,18,19,0,0,0,0,0,0,20,24,28,29,29,Baldwin,840,"Baldwin, Alabama, US",US,1003,US,USA,30.72774991,-87.72207058,Alabama,84001003,"Baldwin County, Alabama",1003,"0.00 (0.00, 0.00)","0.61 (0.51, 0.73)","5.68 (4.98, 6.45)","10.52 (9.36, 11.75)","3.41 (2.93, 3.95)","2.91 (2.49, 3.37)","2.06 (1.72, 2.44)","1.81 (1.49, 2.20)","198.64 (129.29, 294.92)"
10334,10161,10221,9849,9362,9099,8845,8613,8417,9684,9267,8959,8712,8283,8168,7913,7848,7717,650,894,1262,1137,1079,931,932,765,700,"Barbour County, AL",10003,8317,8373,8572,7831,7940,1005,68.9,34382,0,6,AL,1431,486,433,6.3,8.8,14.3,12.3,11.5,11.5,10.2,10.5,8.9,8.3,5.8,5.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,Barbour,840,"Barbour, Alabama, US",US,1005,US,USA,31.868263,-85.3871286,Alabama,84001005,"Barbour County, Alabama",1005,"0.00 (0.00, 0.00)","0.56 (0.45, 0.68)","6.45 (5.52, 7.56)","14.41 (12.49, 16.60)","5.50 (4.59, 6.50)","5.61 (4.61, 6.74)","4.23 (3.33, 5.27)","4.03 (3.12, 5.08)","619.07 (421.78, 887.53)"
8791,8749,8934,8933,8798,8705,8559,8576,8623,8432,8241,7914,7996,8047,8016,7942,8009,8067,359,508,1020,937,751,689,617,567,556,"Bibb County, AL",8742,8550,8661,7581,8174,8317,1007,92.3,46064,1,1,AL,1161,376,344,4.1,5.8,13.3,11.4,10.5,8.5,7.9,7.2,6.6,6.4,4.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,4,4,4,5,Bibb,840,"Bibb, Alabama, US",US,1007,US,USA,32.99642064,-87.12511459999997,Alabama,84001007,"Bibb County, Alabama",1007,"0.00 (0.00, 0.00)","0.27 (0.20, 0.35)","3.93 (3.12, 4.78)","8.63 (7.12, 10.40)","2.30 (1.79, 2.94)","2.23 (1.66, 2.97)","1.44 (1.01, 1.98)","1.24 (0.85, 1.77)","366.23 (206.72, 615.04)"
26629,26698,24906,25123,24960,24887,24527,24485,24623,25780,25453,22460,22939,23244,23325,23023,23163,23298,849,1245,2446,2184,1716,1562,1504,1322,1325,"Blount County, AL",26480,24725,25006,23832,23726,24128,1009,101.1,50412,1,1,AL,2648,999,878,3.2,4.7,10,9.8,8.7,6.9,6.3,6.1,5.4,5.4,4,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,0,5,5,0,0,0,0,0,0,5,6,9,10,10,Blount,840,"Blount, Alabama, US",US,1009,US,USA,33.98210918,-86.56790593,Alabama,84001009,"Blount County, Alabama",1009,"0.00 (0.00, 0.00)","0.25 (0.19, 0.31)","3.50 (2.88, 4.14)","7.50 (6.31, 8.83)","2.12 (1.71, 2.63)","1.92 (1.48, 2.41)","1.19 (0.87, 1.57)","1.05 (0.75, 1.42)","329.57 (186.82, 528.27)"
3653,3634,4941,4833,4736,4778,4732,4779,4833,3308,3251,4356,4272,4245,4331,4314,4400,4503,345,383,585,561,491,447,418,379,330,"Bullock County, AL",3739,4833,4776,3156,4595,4552,1011,58.7,29267,0,6,AL,583,238,224,9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.8,7.9,6.8,4.9,4.7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,0,0,0,0,0,0,3,2,2,2,2,Bullock,840,"Bullock, Alabama, US",US,1011,US,USA,32.10030533,-85.71265535,Alabama,84001011,"Bullock County, Alabama",1011,"0.00 (0.00, 0.00)","0.74 (0.58, 0.92)","8.93 (7.43, 10.70)","18.46 (15.55, 21.79)","6.45 (5.14, 7.94)","6.24 (4.79, 7.92)","4.48 (3.32, 5.89)","3.87 (2.82, 5.28)","426.07 (282.28, 632.90)"
9099,9051,9261,9188,9088,9147,9270,9138,9206,8539,8278,7998,8042,8039,8206,8477,8444,8571,560,773,1263,1146,1049,941,793,694,635,"Butler County, AL",9104,8941,8914,7615,8446,8487,1013,74.9,37365,0,6,AL,1489,495,427,6.2,8.5,16.4,13.6,12.5,11.5,10.3,8.6,7.6,6.9,5.5,4.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,Butler,840,"Butler, Alabama, US",US,1013,US,USA,31.75300095,-86.68057478,Alabama,84001013,"Butler County, Alabama",1013,"0.00 (0.00, 0.00)","0.56 (0.44, 0.71)","6.99 (5.90, 8.33)","13.74 (11.70, 16.09)","5.03 (4.07, 6.12)","5.00 (3.88, 6.21)","3.63 (2.74, 4.66)","3.26 (2.37, 4.28)","480.44 (297.87, 718.05)"
