STNAME,CTYNAME,POPESTIMATE2019,DEATHS2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019
Alabama,Alabama,4903185,53879,2772,9387,12159
Alabama,Autauga County,55869,541,-16,270,254
Alabama,Baldwin County,223234,2326,80,5297,5377
Alabama,Barbour County,24686,312,13,-141,-128
Alabama,Bibb County,22394,252,10,31,41
Alabama,Blount County,57826,657,6,59,65
Alabama,Bullock County,10101,109,-1,-72,-73
Alabama,Butler County,19448,272,18,-141,-123
Alabama,Calhoun County,113605,1532,14,-475,-461
Alabama,Chambers County,33254,441,6,-265,-259
Alabama,Cherokee County,26196,343,-3,306,303
Alabama,Chilton County,44428,503,35,184,219
Alabama,Choctaw County,12589,176,-2,-199,-201
Alabama,Clarke County,23622,324,-5,-232,-237
Alabama,Clay County,13235,187,-2,-12,-14
Alabama,Cleburne County,14910,189,-11,-86,-97
Alabama,Coffee County,52342,570,34,334,368
Alabama,Colbert County,55241,719,73,256,329
Alabama,Conecuh County,12067,182,1,-167,-166
Alabama,Coosa County,10663,122,13,42,55
Alabama,Covington County,37049,543,-5,235,230
Alabama,Crenshaw County,13772,179,3,-14,-11
Alabama,Cullman County,83768,1050,34,380,414
Alabama,Dale County,49172,546,18,-89,-71
Alabama,Dallas County,37196,542,5,-1002,-997
Alabama,DeKalb County,71513,819,44,90,134
Alabama,Elmore County,81209,821,25,67,92
Alabama,Escambia County,36633,474,-1,166,165
Alabama,Etowah County,102268,1487,37,-62,-25
Alabama,Fayette County,16302,225,5,-97,-92
Alabama,Franklin County,31362,367,29,-28,1
Alabama,Geneva County,26271,365,-7,62,55
Alabama,Greene County,8111,93,0,-101,-101
Alabama,Hale County,14651,181,-3,-103,-106
Alabama,Henry County,17205,213,-1,79,78
Alabama,Houston County,105882,1137,11,936,947
Alabama,Jackson County,51626,675,-7,128,121
Alabama,Jefferson County,658573,7343,460,-2375,-1915
Alabama,Lamar County,13805,172,-1,-64,-65
Alabama,Lauderdale County,92729,1136,35,355,390
Alabama,Lawrence County,32924,428,-3,69,66
Alabama,Lee County,164542,1133,303,-112,191
Alabama,Limestone County,98915,864,32,2545,2577
Alabama,Lowndes County,9726,141,-1,-223,-224
Alabama,Macon County,18068,264,1,-162,-161
Alabama,Madison County,372909,3305,230,4721,4951
Alabama,Marengo County,18863,276,3,-129,-126
Alabama,Marion County,29709,405,3,62,65
Alabama,Marshall County,96774,1155,65,303,368
Alabama,Mobile County,413210,4576,266,-1821,-1555
Alabama,Monroe County,20733,278,-2,-249,-251
Alabama,Montgomery County,226486,2164,321,-1235,-914
Alabama,Morgan County,119679,1316,113,285,398
Alabama,Perry County,8923,121,2,-124,-122
Alabama,Pickens County,19930,235,14,-33,-19
Alabama,Pike County,33114,339,79,-210,-131
Alabama,Randolph County,22722,285,-6,33,27
Alabama,Russell County,57961,608,-49,26,-23
Alabama,St. Clair County,89512,975,23,828,851
Alabama,Shelby County,217702,1626,137,1381,1518
Alabama,Sumter County,12427,163,27,-207,-180
Alabama,Talladega County,79978,1044,32,14,46
Alabama,Tallapoosa County,40367,534,2,-18,-16
Alabama,Tuscaloosa County,209355,1872,221,261,482
Alabama,Walker County,63521,969,-1,75,74
Alabama,Washington County,16326,191,14,-65,-51
Alabama,Wilcox County,10373,162,0,-197,-197
Alabama,Winston County,23629,325,2,17,19
Alaska,Alaska,731545,4819,659,-9482,-8823
Alaska,Aleutians East Borough,3337,9,43,-103,-60
Alaska,Aleutians West Census Area,5634,7,53,-91,-38
Alaska,Anchorage Municipality,288000,1847,364,-4972,-4608
Alaska,Bethel Census Area,18386,150,2,-88,-86
Alaska,Bristol Bay Borough,836,7,1,-46,-45
Alaska,Denali Borough,2097,9,8,51,59
Alaska,Dillingham Census Area,4916,42,1,-121,-120
Alaska,Fairbanks North Star Borough,96849,506,16,-2763,-2747
Alaska,Haines Borough,2530,7,0,28,28
Alaska,Hoonah-Angoon Census Area,2148,18,4,-13,-9
Alaska,Juneau City and Borough,31974,177,20,-247,-227
Alaska,Kenai Peninsula Borough,58708,541,20,6,26
Alaska,Ketchikan Gateway Borough,13901,88,24,-42,-18
Alaska,Kodiak Island Borough,12998,53,33,-400,-367
Alaska,Kusilvak Census Area,8314,103,7,-146,-139
Alaska,Lake and Peninsula Borough,1592,10,3,-28,-25
Alaska,Matanuska-Susitna Borough,108317,646,16,466,482
Alaska,Nome Census Area,10004,101,2,-147,-145
Alaska,North Slope Borough,9832,57,1,-114,-113
Alaska,Northwest Arctic Borough,7621,90,7,-156,-149
