Date,Infected,Mortality
2003-03-17 00:00:00,167,4
2003-03-18 00:00:00,219,4
2003-03-19 00:00:00,264,9
2003-03-20 00:00:00,306,10
2003-03-21 00:00:00,350,10
2003-03-22 00:00:00,386,11
2003-03-24 00:00:00,456,17
2003-03-25 00:00:00,487,17
2003-03-26 00:00:00,1323,49
2003-03-27 00:00:00,1408,53
2003-03-28 00:00:00,1485,53
2003-03-29 00:00:00,1550,54
2003-03-31 00:00:00,1622,58
2003-04-01 00:00:00,1804,62
2003-04-02 00:00:00,2223,78
2003-04-03 00:00:00,2270,79
2003-04-04 00:00:00,2353,84
2003-04-05 00:00:00,2416,84
2003-04-07 00:00:00,2601,98
2003-04-08 00:00:00,2671,103
2003-04-09 00:00:00,2722,106
2003-04-10 00:00:00,2781,111
2003-04-11 00:00:00,2890,116
2003-04-12 00:00:00,2960,119
2003-04-14 00:00:00,3169,144
2003-04-15 00:00:00,3235,154
2003-04-16 00:00:00,3293,159
2003-04-17 00:00:00,3389,165
2003-04-18 00:00:00,3547,182
2003-04-19 00:00:00,3547,182
2003-04-21 00:00:00,3861,217
2003-04-22 00:00:00,3947,229
2003-04-23 00:00:00,4288,251
2003-04-24 00:00:00,4439,263
2003-04-25 00:00:00,4649,274
2003-04-26 00:00:00,4836,293
2003-04-28 00:00:00,5050,321
2003-04-29 00:00:00,5462,353
2003-04-30 00:00:00,5663,372
2003-05-01 00:00:00,5865,391
2003-05-02 00:00:00,6054,417
2003-05-03 00:00:00,6234,435
2003-05-05 00:00:00,6583,461
2003-05-06 00:00:00,6727,478
2003-05-07 00:00:00,6903,495
2003-05-08 00:00:00,7053,506
2003-05-09 00:00:00,7183,514
2003-05-10 00:00:00,7296,526
2003-05-12 00:00:00,7447,552
2003-05-13 00:00:00,7548,573
2003-05-14 00:00:00,7628,587
2003-05-15 00:00:00,7699,598
2003-05-16 00:00:00,7739,611
2003-05-17 00:00:00,7761,623
2003-05-19 00:00:00,7864,643
2003-05-20 00:00:00,7919,662
2003-05-21 00:00:00,7956,666
2003-05-22 00:00:00,8046,682
2003-05-23 00:00:00,8117,689
2003-05-24 00:00:00,8141,696
2003-05-26 00:00:00,8202,725
2003-05-27 00:00:00,8221,735
2003-05-28 00:00:00,8240,745
2003-05-29 00:00:00,8295,750
2003-05-30 00:00:00,8317,754
2003-05-31 00:00:00,8360,764
2003-06-02 00:00:00,8384,770
2003-06-03 00:00:00,8398,772
2003-06-04 00:00:00,8402,772
2003-06-05 00:00:00,8403,775
2003-06-06 00:00:00,8404,779
2003-06-09 00:00:00,8421,784
2003-06-10 00:00:00,8430,789
2003-06-11 00:00:00,8435,789
2003-06-12 00:00:00,8445,790
2003-06-13 00:00:00,8454,792
2003-06-16 00:00:00,8460,799
2003-06-17 00:00:00,8464,799
2003-06-18 00:00:00,8465,801
2003-06-19 00:00:00,8462,804
2003-06-20 00:00:00,8461,804
2003-06-23 00:00:00,8459,805
2003-06-24 00:00:00,8458,807
2003-06-25 00:00:00,8460,808
2003-06-26 00:00:00,8456,809
2003-06-27 00:00:00,8450,810
2003-06-30 00:00:00,8447,811
2003-07-01 00:00:00,8445,812
2003-07-02 00:00:00,8442,812
2003-07-03 00:00:00,8439,812
2003-07-04 00:00:00,8439,812
2003-07-07 00:00:00,8439,812
2003-07-08 00:00:00,8436,812
2003-07-09 00:00:00,8436,812
2003-07-10 00:00:00,8437,812
2003-07-11 00:00:00,8437,813
